AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION-NUM,MARITAL-STATUS,OCCUPATION,OCCUPATION-NUM,RELATIONSHIP,RACE,SEX,HOURS-PER-WEEK,NATIVE-COUNTRY,SALARY
39,STATE-GOV,77516,BACHELORS,13,NEVER-MARRIED,ADM-CLERICAL,1,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
50,SELF-EMP-NOT-INC,83311,BACHELORS,13,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,13,UNITED-STATES, <=50K
38,PRIVATE,215646,HS-GRAD,9,DIVORCED,HANDLERS-CLEANERS,6,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
53,PRIVATE,234721,11TH,7,MARRIED-CIV-SPOUSE,HANDLERS-CLEANERS,6,HUSBAND,BLACK,MALE,40,UNITED-STATES, <=50K
28,PRIVATE,338409,BACHELORS,13,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,WIFE,BLACK,FEMALE,40,CUBA, <=50K
37,PRIVATE,284582,MASTERS,14,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,WIFE,WHITE,FEMALE,40,UNITED-STATES, <=50K
49,PRIVATE,160187,9TH,5,MARRIED-SPOUSE-ABSENT,OTHER-SERVICE,8,NOT-IN-FAMILY,BLACK,FEMALE,16,JAMAICA, <=50K
52,SELF-EMP-NOT-INC,209642,HS-GRAD,9,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,45,UNITED-STATES, >50K
31,PRIVATE,45781,MASTERS,14,NEVER-MARRIED,PROF-SPECIALTY,10,NOT-IN-FAMILY,WHITE,FEMALE,50,UNITED-STATES, >50K
42,PRIVATE,159449,BACHELORS,13,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
37,PRIVATE,280464,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,BLACK,MALE,80,UNITED-STATES, >50K
30,STATE-GOV,141297,BACHELORS,13,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,ASIAN-PAC-ISLANDER,MALE,40,INDIA, >50K
23,PRIVATE,122272,BACHELORS,13,NEVER-MARRIED,ADM-CLERICAL,1,OWN-CHILD,WHITE,FEMALE,30,UNITED-STATES, <=50K
32,PRIVATE,205019,ASSOC-ACDM,12,NEVER-MARRIED,SALES,12,NOT-IN-FAMILY,BLACK,MALE,50,UNITED-STATES, <=50K
34,PRIVATE,245487,7TH-8TH,4,MARRIED-CIV-SPOUSE,TRANSPORT-MOVING,14,HUSBAND,AMER-INDIAN-ESKIMO,MALE,45,MEXICO, <=50K
25,SELF-EMP-NOT-INC,176756,HS-GRAD,9,NEVER-MARRIED,FARMING-FISHING,5,OWN-CHILD,WHITE,MALE,35,UNITED-STATES, <=50K
32,PRIVATE,186824,HS-GRAD,9,NEVER-MARRIED,MACHINE-OP-INSPCT,7,UNMARRIED,WHITE,MALE,40,UNITED-STATES, <=50K
38,PRIVATE,28887,11TH,7,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,50,UNITED-STATES, <=50K
43,SELF-EMP-NOT-INC,292175,MASTERS,14,DIVORCED,EXEC-MANAGERIAL,4,UNMARRIED,WHITE,FEMALE,45,UNITED-STATES, >50K
40,PRIVATE,193524,DOCTORATE,16,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,60,UNITED-STATES, >50K
54,PRIVATE,302146,HS-GRAD,9,SEPARATED,OTHER-SERVICE,8,UNMARRIED,BLACK,FEMALE,20,UNITED-STATES, <=50K
35,FEDERAL-GOV,76845,9TH,5,MARRIED-CIV-SPOUSE,FARMING-FISHING,5,HUSBAND,BLACK,MALE,40,UNITED-STATES, <=50K
43,PRIVATE,117037,11TH,7,MARRIED-CIV-SPOUSE,TRANSPORT-MOVING,14,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
59,PRIVATE,109015,HS-GRAD,9,DIVORCED,TECH-SUPPORT,13,UNMARRIED,WHITE,FEMALE,40,UNITED-STATES, <=50K
56,LOCAL-GOV,216851,BACHELORS,13,MARRIED-CIV-SPOUSE,TECH-SUPPORT,13,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
19,PRIVATE,168294,HS-GRAD,9,NEVER-MARRIED,CRAFT-REPAIR,3,OWN-CHILD,WHITE,MALE,40,UNITED-STATES, <=50K
39,PRIVATE,367260,HS-GRAD,9,DIVORCED,EXEC-MANAGERIAL,4,NOT-IN-FAMILY,WHITE,MALE,80,UNITED-STATES, <=50K
49,PRIVATE,193366,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
23,LOCAL-GOV,190709,ASSOC-ACDM,12,NEVER-MARRIED,PROTECTIVE-SERV,11,NOT-IN-FAMILY,WHITE,MALE,52,UNITED-STATES, <=50K
20,PRIVATE,266015,SOME-COLLEGE,10,NEVER-MARRIED,SALES,12,OWN-CHILD,BLACK,MALE,44,UNITED-STATES, <=50K
